window,lhz,lead,zone_code,n,accuracy,f1_weighted,mae,rmse,r2,accuracy_baseline,f1_weighted_baseline,mae_baseline,rmse_baseline,r2_baseline
default,agropastoral,0,ET0410,9,0.7777777777777778,0.7301587301587301,0.3333333333333333,0.7453559924999299,-0.1842105263157896,0.6666666666666666,0.6203703703703703,0.4444444444444444,0.816496580927726,-0.42105263157894757
default,agropastoral,0,ET0502,9,0.7777777777777778,0.8174603174603174,0.2222222222222222,0.4714045207910317,-1.25,0.7777777777777778,0.7777777777777778,0.2222222222222222,0.4714045207910317,-1.25
default,agropastoral,0,ET0707,9,0.6666666666666666,0.658008658008658,0.3333333333333333,0.5773502691896257,-0.3500000000000003,0.5555555555555556,0.48148148148148145,0.4444444444444444,0.6666666666666666,-0.8000000000000003
default,agropastoral,0,ET0712,9,0.4444444444444444,0.4444444444444444,0.5555555555555556,0.7453559924999299,-1.2500000000000004,0.4444444444444444,0.4444444444444444,0.5555555555555556,0.7453559924999299,-1.2500000000000004
default,agropastoral,0,ET1201,9,0.6666666666666666,0.6461538461538462,0.3333333333333333,0.5773502691896257,-0.5,0.6666666666666666,0.5333333333333334,0.3333333333333333,0.5773502691896257,-0.5
default,agropastoral,1,ET0410,9,0.6666666666666666,0.6203703703703703,0.4444444444444444,0.816496580927726,-0.42105263157894757,0.6666666666666666,0.6203703703703703,0.4444444444444444,0.816496580927726,-0.42105263157894757
default,agropastoral,1,ET0502,9,0.7777777777777778,0.8174603174603174,0.2222222222222222,0.4714045207910317,-1.25,0.7777777777777778,0.7777777777777778,0.2222222222222222,0.4714045207910317,-1.25
default,agropastoral,1,ET0707,9,0.5555555555555556,0.5444444444444445,0.4444444444444444,0.6666666666666666,-0.8000000000000003,0.5555555555555556,0.48148148148148145,0.4444444444444444,0.6666666666666666,-0.8000000000000003
default,agropastoral,1,ET0712,9,0.4444444444444444,0.4444444444444444,0.5555555555555556,0.7453559924999299,-1.2500000000000004,0.4444444444444444,0.4444444444444444,0.5555555555555556,0.7453559924999299,-1.2500000000000004
default,agropastoral,1,ET1201,9,0.4444444444444444,0.4588744588744588,0.5555555555555556,0.7453559924999299,-1.5,0.6666666666666666,0.5333333333333334,0.3333333333333333,0.5773502691896257,-0.5
default,agropastoral,2,ET0410,9,0.7777777777777778,0.7301587301587301,0.3333333333333333,0.7453559924999299,-0.1842105263157896,0.6666666666666666,0.6203703703703703,0.4444444444444444,0.816496580927726,-0.42105263157894757
default,agropastoral,2,ET0502,9,0.6666666666666666,0.7111111111111111,0.3333333333333333,0.5773502691896257,-2.3749999999999996,0.7777777777777778,0.7777777777777778,0.2222222222222222,0.4714045207910317,-1.25
default,agropastoral,2,ET0707,9,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.5773502691896257,-0.3500000000000003,0.5555555555555556,0.48148148148148145,0.4444444444444444,0.6666666666666666,-0.8000000000000003
default,agropastoral,2,ET0712,9,0.4444444444444444,0.4444444444444444,0.5555555555555556,0.7453559924999299,-1.2500000000000004,0.4444444444444444,0.4444444444444444,0.5555555555555556,0.7453559924999299,-1.2500000000000004
default,agropastoral,2,ET1201,9,0.6666666666666666,0.6461538461538462,0.3333333333333333,0.5773502691896257,-0.5,0.6666666666666666,0.5333333333333334,0.3333333333333333,0.5773502691896257,-0.5
default,agropastoral,3,ET0410,9,0.5555555555555556,0.5174603174603174,0.4444444444444444,0.6666666666666666,0.05263157894736825,0.6666666666666666,0.6203703703703703,0.4444444444444444,0.816496580927726,-0.42105263157894757
default,agropastoral,3,ET0502,9,0.7777777777777778,0.7777777777777778,0.2222222222222222,0.4714045207910317,-1.25,0.7777777777777778,0.7777777777777778,0.2222222222222222,0.4714045207910317,-1.25
default,agropastoral,3,ET0707,9,0.5555555555555556,0.48148148148148145,0.4444444444444444,0.6666666666666666,-0.8000000000000003,0.5555555555555556,0.48148148148148145,0.4444444444444444,0.6666666666666666,-0.8000000000000003
default,agropastoral,3,ET0712,9,0.4444444444444444,0.4011544011544011,0.5555555555555556,0.7453559924999299,-1.2500000000000004,0.4444444444444444,0.4444444444444444,0.5555555555555556,0.7453559924999299,-1.2500000000000004
default,agropastoral,3,ET1201,9,0.6666666666666666,0.5333333333333334,0.3333333333333333,0.5773502691896257,-0.5,0.6666666666666666,0.5333333333333334,0.3333333333333333,0.5773502691896257,-0.5
default,agropastoral,4,ET0410,9,0.4444444444444444,0.4259259259259259,0.5555555555555556,0.7453559924999299,-0.1842105263157896,0.4444444444444444,0.41358024691358025,0.6666666666666666,0.9428090415820634,-0.8947368421052635
default,agropastoral,4,ET0502,9,0.7777777777777778,0.7777777777777778,0.2222222222222222,0.4714045207910317,-1.25,0.8888888888888888,0.8366013071895425,0.1111111111111111,0.3333333333333333,-0.125
default,agropastoral,4,ET0707,9,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.5773502691896257,-0.3500000000000003,0.4444444444444444,0.27350427350427353,0.5555555555555556,0.7453559924999299,-1.2500000000000004
default,agropastoral,4,ET0712,9,0.3333333333333333,0.40476190476190477,0.7777777777777778,1.0,-3.0500000000000007,0.5555555555555556,0.5444444444444445,0.4444444444444444,0.6666666666666666,-0.8000000000000003
default,agropastoral,4,ET1201,9,0.6666666666666666,0.5333333333333334,0.3333333333333333,0.5773502691896257,-0.5,0.6666666666666666,0.5333333333333334,0.3333333333333333,0.5773502691896257,-0.5
default,agropastoral,8,ET0410,9,0.5555555555555556,0.5151515151515151,0.4444444444444444,0.6666666666666666,0.05263157894736825,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.816496580927726,-0.42105263157894757
default,agropastoral,8,ET0502,9,0.8888888888888888,0.8366013071895425,0.1111111111111111,0.3333333333333333,-0.125,0.7777777777777778,0.7777777777777778,0.2222222222222222,0.4714045207910317,-1.25
default,agropastoral,8,ET0707,9,0.5555555555555556,0.48148148148148145,0.4444444444444444,0.6666666666666666,-0.8000000000000003,0.3333333333333333,0.2222222222222222,0.6666666666666666,0.816496580927726,-1.7000000000000006
default,agropastoral,8,ET0712,9,0.4444444444444444,0.5396825396825397,0.6666666666666666,0.9428090415820634,-2.6000000000000005,0.4444444444444444,0.4253968253968254,0.6666666666666666,0.9428090415820634,-2.6000000000000005
default,agropastoral,8,ET1201,9,0.6666666666666666,0.5333333333333334,0.3333333333333333,0.5773502691896257,-0.5,0.6666666666666666,0.5333333333333334,0.3333333333333333,0.5773502691896257,-0.5
default,agropastoral,12,ET0410,9,0.6666666666666666,0.6262626262626263,0.4444444444444444,0.816496580927726,-0.42105263157894757,0.1111111111111111,0.1388888888888889,0.8888888888888888,0.9428090415820634,-0.8947368421052635
default,agropastoral,12,ET0502,9,0.2222222222222222,0.2222222222222222,0.7777777777777778,0.8819171036881969,-6.874999999999999,0.7777777777777778,0.7777777777777778,0.2222222222222222,0.4714045207910317,-1.25
default,agropastoral,12,ET0707,9,0.4444444444444444,0.43001443001442996,0.5555555555555556,0.7453559924999299,-1.2500000000000004,0.4444444444444444,0.2962962962962963,0.6666666666666666,0.9428090415820634,-2.6000000000000005
default,agropastoral,12,ET0712,9,0.5555555555555556,0.5444444444444445,0.4444444444444444,0.6666666666666666,-0.8000000000000003,0.5555555555555556,0.6137566137566137,0.5555555555555556,0.8819171036881969,-2.1500000000000004
default,agropastoral,12,ET1201,9,0.6666666666666666,0.5333333333333334,0.3333333333333333,0.5773502691896257,-0.5,0.6666666666666666,0.5333333333333334,0.3333333333333333,0.5773502691896257,-0.5
default,crop_farming,0,ET0101,9,0.1111111111111111,0.13333333333333336,1.0,1.1055415967851334,0.3486842105263158,0.7777777777777778,0.7795414462081128,0.3333333333333333,0.7453559924999299,0.7039473684210527
default,crop_farming,0,ET0102,9,0.2222222222222222,0.2037037037037037,0.8888888888888888,1.0540925533894598,0.32835820895522394,0.5555555555555556,0.606060606060606,0.6666666666666666,1.1547005383792515,0.19402985074626866
default,crop_farming,0,ET0103,9,0.1111111111111111,0.044444444444444446,0.8888888888888888,0.9428090415820634,0.16279069767441856,0.5555555555555556,0.5493827160493827,0.5555555555555556,0.8819171036881969,0.2674418604651163
default,crop_farming,0,ET0104,9,0.3333333333333333,0.2222222222222222,0.7777777777777778,1.0,-0.6200000000000001,0.6666666666666666,0.692063492063492,0.4444444444444444,0.816496580927726,-0.08000000000000007
default,crop_farming,0,ET0105,9,0.5555555555555556,0.5396825396825397,0.4444444444444444,0.6666666666666666,0.6,0.6666666666666666,0.6190476190476191,0.3333333333333333,0.5773502691896257,0.7
default,crop_farming,0,ET0106,9,0.1111111111111111,0.14814814814814814,1.0,1.1055415967851334,0.1885245901639344,0.4444444444444444,0.5333333333333334,0.8888888888888888,1.3333333333333333,-0.180327868852459
default,crop_farming,0,ET0107,9,0.5555555555555556,0.6767676767676768,0.5555555555555556,0.8819171036881969,-0.12500000000000022,0.5555555555555556,0.6481481481481483,0.6666666666666666,1.0540925533894598,-0.6071428571428574
default,crop_farming,0,ET0301,9,0.3333333333333333,0.2222222222222222,0.6666666666666666,0.816496580927726,-0.5000000000000002,0.2222222222222222,0.19753086419753085,1.0,1.2018504251546631,-2.2500000000000004
default,crop_farming,0,ET0302,9,0.4444444444444444,0.39191919191919194,0.5555555555555556,0.7453559924999299,-0.25,0.1111111111111111,0.04938271604938271,1.0,1.1055415967851334,-1.75
default,crop_farming,0,ET0303,9,0.6666666666666666,0.6772486772486772,0.4444444444444444,0.816496580927726,-0.5000000000000002,0.4444444444444444,0.5502645502645502,0.7777777777777778,1.1055415967851334,-1.7500000000000004
default,crop_farming,0,ET0304,9,0.4444444444444444,0.367003367003367,0.5555555555555556,0.7453559924999299,-0.1842105263157896,0.3333333333333333,0.35185185185185186,0.8888888888888888,1.1547005383792515,-1.8421052631578951
default,crop_farming,0,ET0305,9,0.5555555555555556,0.5277777777777778,0.4444444444444444,0.6666666666666666,0.33333333333333337,0.4444444444444444,0.37037037037037035,0.6666666666666666,0.9428090415820634,-0.33333333333333326
default,crop_farming,0,ET0306,9,1.0,1.0,0.0,0.0,,1.0,1.0,0.0,0.0,
default,crop_farming,0,ET0307,9,1.0,1.0,0.0,0.0,,1.0,1.0,0.0,0.0,
default,crop_farming,0,ET0308,9,0.5555555555555556,0.48677248677248675,0.5555555555555556,0.8819171036881969,-0.43181818181818166,0.4444444444444444,0.42857142857142855,0.5555555555555556,0.7453559924999299,-0.022727272727272707
default,crop_farming,0,ET0309,9,1.0,1.0,0.0,0.0,,1.0,1.0,0.0,0.0,
default,crop_farming,0,ET0310,9,0.4444444444444444,0.40909090909090906,0.5555555555555556,0.7453559924999299,-0.022727272727272707,0.3333333333333333,0.35714285714285715,0.7777777777777778,1.0,-0.8409090909090908
default,crop_farming,0,ET0311,9,0.7777777777777778,0.8174603174603174,0.2222222222222222,0.4714045207910317,-1.25,0.8888888888888888,0.8366013071895425,0.1111111111111111,0.3333333333333333,-0.125
default,crop_farming,0,ET0312,9,1.0,1.0,0.0,0.0,,1.0,1.0,0.0,0.0,
default,crop_farming,0,ET0401,9,1.0,1.0,0.0,0.0,,1.0,1.0,0.0,0.0,
default,crop_farming,0,ET0402,9,1.0,1.0,0.0,0.0,,1.0,1.0,0.0,0.0,
default,crop_farming,0,ET0403,9,1.0,1.0,0.0,0.0,,1.0,1.0,0.0,0.0,
default,crop_farming,0,ET0404,9,1.0,1.0,0.0,0.0,,1.0,1.0,0.0,0.0,
default,crop_farming,0,ET0405,9,1.0,1.0,0.0,0.0,,1.0,1.0,0.0,0.0,
default,crop_farming,0,ET0406,9,0.7777777777777778,0.7962962962962963,0.2222222222222222,0.4714045207910317,-0.2857142857142858,0.8888888888888888,0.874074074074074,0.1111111111111111,0.3333333333333333,0.3571428571428571
default,crop_farming,0,ET0407,9,0.5555555555555556,0.5777777777777778,0.4444444444444444,0.6666666666666666,-1.0,0.6666666666666666,0.6153846153846154,0.5555555555555556,1.0,-3.5
default,crop_farming,0,ET0408,9,0.4444444444444444,0.43636363636363634,0.5555555555555556,0.7453559924999299,-0.40625,0.4444444444444444,0.4259259259259259,0.6666666666666666,0.9428090415820634,-1.25
default,crop_farming,0,ET0409,9,0.6666666666666666,0.7282051282051283,0.3333333333333333,0.5773502691896257,-2.3749999999999996,0.5555555555555556,0.6296296296296295,0.4444444444444444,0.6666666666666666,-3.5
default,crop_farming,0,ET0413,9,1.0,1.0,0.0,0.0,,1.0,1.0,0.0,0.0,
default,crop_farming,0,ET0416,9,1.0,1.0,0.0,0.0,,1.0,1.0,0.0,0.0,
default,crop_farming,0,ET0417,9,0.4444444444444444,0.4074074074074074,0.6666666666666666,0.9428090415820634,-1.0,0.3333333333333333,0.303030303030303,0.7777777777777778,1.0,-1.25
default,crop_farming,0,ET0418,9,0.7777777777777778,0.6805555555555556,0.2222222222222222,0.4714045207910317,-0.2857142857142858,0.7777777777777778,0.6805555555555556,0.2222222222222222,0.4714045207910317,-0.2857142857142858
default,crop_farming,0,ET0419,9,1.0,1.0,0.0,0.0,,1.0,1.0,0.0,0.0,
default,crop_farming,0,ET0420,9,0.7777777777777778,0.6805555555555556,0.2222222222222222,0.4714045207910317,-0.2857142857142858,0.7777777777777778,0.6805555555555556,0.2222222222222222,0.4714045207910317,-0.2857142857142858
default,crop_farming,0,ET0602,9,0.6666666666666666,0.5714285714285714,0.4444444444444444,0.816496580927726,0.0357142857142857,0.5555555555555556,0.5128205128205129,0.5555555555555556,0.8819171036881969,-0.125
default,crop_farming,0,ET0603,9,1.0,1.0,0.0,0.0,,1.0,1.0,0.0,0.0,
