lhz_code,lead,reference_r2,reproduced_r2,abs_diff,robust_sd,within_1sd,within_2sd
p,0,0.49,0.4935,0.0035,0.3751,True,True
ap,0,0.48,0.4816,0.0016,0.2176,True,True
other,0,0.54,0.6102,0.0702,0.356,True,True
p,1,0.55,0.5267,0.0233,0.4009,True,True
ap,1,0.48,0.5011,0.0211,0.2985,True,True
other,1,0.65,0.6416,0.0084,0.3618,True,True
p,2,0.44,0.4882,0.0482,0.4105,True,True
ap,2,0.48,0.5308,0.0508,0.3294,True,True
other,2,0.61,0.6266,0.0166,0.44,True,True
p,3,0.53,0.5331,0.0031,0.361,True,True
ap,3,0.37,0.4703,0.1003,0.2474,True,True
other,3,0.57,0.5786,0.0086,0.2901,True,True
p,4,0.35,0.4938,0.1438,0.432,True,True
ap,4,0.4,0.4477,0.0477,0.2881,True,True
other,4,0.46,0.4836,0.0236,0.5372,True,True
p,8,0.28,0.254,0.026,0.4029,True,True
ap,8,0.23,0.2504,0.0204,0.2907,True,True
other,8,0.48,0.4244,0.0556,0.5191,True,True
p,12,0.3,0.4261,0.1261,0.4714,True,True
ap,12,0.05,-0.0588,0.1088,0.5849,True,True
other,12,0.4,0.4194,0.0194,0.4419,True,True
