window,lhz,lead,zone_code,n,mae,rmse,r2,mae_baseline,rmse_baseline,r2_baseline
default,agropastoral,0,ET0410,9,0.7963090538978577,0.9254150954199832,-2.67120361328125,0.4707859754562378,0.6178881374400217,-0.6366469860076904
default,agropastoral,0,ET0502,9,0.6531602740287781,0.7329522412420484,-6.845715045928955,0.23186196386814117,0.40580415102173745,-1.4049949645996094
default,agropastoral,0,ET0707,9,0.2323763072490692,0.3077531302267329,0.27552855014801025,0.28454694151878357,0.324481926238366,0.19462651014328003
default,agropastoral,0,ET0712,9,0.6111823916435242,0.7213025585309526,-1.4461524486541748,0.5533507466316223,0.7095363349455123,-1.3669979572296143
default,agropastoral,0,ET1201,9,0.249954491853714,0.31289835811969346,-0.9668684005737305,0.1577175110578537,0.2732253750474862,-0.4997220039367676
default,agropastoral,1,ET0410,9,0.6135274171829224,0.6767608730582738,-0.9633865356445312,0.4707859754562378,0.6178881374400217,-0.6366469860076904
default,agropastoral,1,ET0502,9,0.48996469378471375,0.572927671384603,-3.793809413909912,0.23186196386814117,0.40580415102173745,-1.4049949645996094
default,agropastoral,1,ET0707,9,0.268219918012619,0.32389287772870445,0.19754791259765625,0.28454694151878357,0.324481926238366,0.19462651014328003
default,agropastoral,1,ET0712,9,0.5772613286972046,0.7046967846243971,-1.3348186016082764,0.5533507466316223,0.7095363349455123,-1.3669979572296143
default,agropastoral,1,ET1201,9,0.2711813747882843,0.3699551632816918,-1.7495834827423096,0.1577175110578537,0.2732253750474862,-0.4997220039367676
default,agropastoral,2,ET0410,9,0.7439122200012207,0.8667760336778403,-2.220691442489624,0.4707859754562378,0.6178881374400217,-0.6366469860076904
default,agropastoral,2,ET0502,9,0.46922624111175537,0.5963040182247907,-4.19297981262207,0.23186196386814117,0.40580415102173745,-1.4049949645996094
default,agropastoral,2,ET0707,9,0.3364509344100952,0.4101307633973676,-0.28665173053741455,0.28454694151878357,0.324481926238366,0.19462651014328003
default,agropastoral,2,ET0712,9,0.6096165776252747,0.7221374298922382,-1.4518184661865234,0.5533507466316223,0.7095363349455123,-1.3669979572296143
default,agropastoral,2,ET1201,9,0.3381764590740204,0.4199675779089988,-2.5432374477386475,0.1577175110578537,0.2732253750474862,-0.4997220039367676
default,agropastoral,3,ET0410,9,0.6842200756072998,0.7793155753968098,-1.6035265922546387,0.4707859754562378,0.6178881374400217,-0.6366469860076904
default,agropastoral,3,ET0502,9,0.4905789792537689,0.5848664731282391,-3.9956798553466797,0.23186196386814117,0.40580415102173745,-1.4049949645996094
default,agropastoral,3,ET0707,9,0.2471781075000763,0.34359782275066847,0.09693896770477295,0.28454694151878357,0.324481926238366,0.19462651014328003
default,agropastoral,3,ET0712,9,0.6087210178375244,0.7070335261692902,-1.3503286838531494,0.5533507466316223,0.7095363349455123,-1.3669979572296143
default,agropastoral,3,ET1201,9,0.30690139532089233,0.38776450896895104,-2.0206809043884277,0.1577175110578537,0.2732253750474862,-0.4997220039367676
default,agropastoral,4,ET0410,9,0.7682285308837891,0.9157123836442744,-2.5946242809295654,0.543802797794342,0.6679881801344708,-0.9128146171569824
default,agropastoral,4,ET0502,9,0.6898051500320435,0.7384534362545646,-6.963929653167725,0.1720876544713974,0.29226875603290414,-0.24751555919647217
default,agropastoral,4,ET0707,9,0.4169522821903229,0.4595401402209816,-0.6153372526168823,0.35993683338165283,0.4426034878014595,-0.4984627962112427
default,agropastoral,4,ET0712,9,0.5692692995071411,0.6927311159751828,-1.256201982498169,0.48697736859321594,0.6593487332070451,-1.0439908504486084
default,agropastoral,4,ET1201,9,0.42326581478118896,0.49550347241706405,-3.932443618774414,0.2614307999610901,0.35079355919189964,-1.4721336364746094
default,agropastoral,8,ET0410,9,0.5337798595428467,0.6593853212967975,-0.8638625144958496,0.5131563544273376,0.6026205938194372,-0.5567656755447388
default,agropastoral,8,ET0502,9,0.5083767771720886,0.5705140423981439,-3.7535037994384766,0.29148611426353455,0.4338327384990572,-1.7486903667449951
default,agropastoral,8,ET0707,9,0.4528730809688568,0.54634703627577,-1.283250093460083,0.42466241121292114,0.5565204423695433,-1.3690736293792725
